,State,AreaName,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,All_With,All_Without,Population
1661,NC,"Caldwell County, North Carolina",6956,8809,35763.0,36386.0,20147.0,41250.0,66429.0,28806.0,829.0,89,69.1,73,67793,13103,80896
1662,NC,"Camden County, North Carolina",370,433,58780.0,61602.0,50125.0,,34886.0,,411.0,5,25.4,3,9067,920,9987
1663,NC,"Carteret County, North Carolina",4547,5509,48457.0,50119.0,24883.0,53125.0,58333.0,30721.0,761.0,77,62.9,63,56360,10088,66448
1664,NC,"Caswell County, North Carolina",2029,2605,37869.0,40880.0,31483.0,,,22228.0,704.0,22,50.2,16,19151,3096,22247
1665,NC,"Catawba County, North Carolina",10699,12930,44376.0,47561.0,27516.0,60769.0,47188.0,27429.0,688.0,126,54.0,99,132004,21144,153148
1666,NC,"Chatham County, North Carolina",4550,4491,56642.0,61378.0,29673.0,,,31062.0,53.0,52,38.5,39,57290,9396,66686
1667,NC,"Cherokee County, North Carolina",2403,2916,34662.0,34692.0,12989.0,21528.0,48684.0,,791.0,39,57.2,28,21737,5073,26810
1668,NC,"Chowan County, North Carolina",1747,2085,38759.0,48095.0,20970.0,,,,661.0,15,59.2,14,12269,2119,14388
1669,NC,"Clay County, North Carolina",1007,1228,37076.0,37388.0,,,,24637.0,693.0,14,50.3,10,8599,1996,10595
1670,NC,"Cleveland County, North Carolina",8012,11144,39453.0,43965.0,24832.0,,105598.0,40729.0,723.0,90,59.2,73,82683,14182,96865
1671,NC,"Columbus County, North Carolina",5572,7196,34949.0,41415.0,23478.0,39103.0,,31616.0,826.0,61,63.6,46,44894,9638,54532
1672,NC,"Craven County, North Carolina",6578,9086,47985.0,54139.0,30249.0,38730.0,39189.0,38498.0,81.0,103,57.0,73,82512,14445,96957
1673,NC,"Cumberland County, North Carolina",22453,32496,44171.0,50065.0,36925.0,34352.0,48420.0,38158.0,733.0,202,56.6,154,258644,38160,296804
1674,NC,"Currituck County, North Carolina",1018,1479,60600.0,61576.0,55625.0,56373.0,,26900.0,786.0,22,70.8,18,20218,3973,24191
1675,NC,"Dare County, North Carolina",1204,1681,54496.0,55418.0,33500.0,28199.0,,38369.0,663.0,31,41.8,18,28550,6156,34706
1676,NC,"Davidson County, North Carolina",11254,14401,43363.0,45868.0,30735.0,48750.0,78474.0,36238.0,839.0,170,61.3,122,140440,21669,162109
1677,NC,"Davie County, North Carolina",2384,2826,51527.0,53615.0,35945.0,,,53086.0,816.0,47,48.3,27,35807,5250,41057
1678,NC,"Duplin County, North Carolina",7197,8409,35035.0,41124.0,25208.0,,48669.0,29642.0,62.0,45,48.0,34,45970,12855,58825
1679,NC,"Durham County, North Carolina",23570,26265,52503.0,63510.0,39332.0,43942.0,61706.0,39025.0,611.0,147,46.6,110,240696,42662,283358
1680,NC,"Edgecombe County, North Carolina",6021,8189,32659.0,40699.0,28421.0,,,27413.0,658.0,47,53.5,38,44944,9286,54230
1681,NC,"Forsyth County, North Carolina",30558,38542,45471.0,53046.0,29527.0,29911.0,72790.0,28590.0,709.0,277,52.9,206,307680,50924,358604
